Name,Pillar (auto),Discipline,Line,Importance,Level,Keystone,Related To,Regressions,Progressions,Also Appears In,Variant Of,Session Role,Notes,,,,,,,,,,,,,,
Crow,Handstands & Balance,Hand Balancing & Inversion,Bent-Arm Balances,2,3,FALSE,,,"Crow - Straight Arm, Crow - Single Leg",,,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
Crow - Frog,Handstands & Balance,Hand Balancing & Inversion,Bent-Arm Balances,3,2,FALSE,,,,,,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
Crow - Straight Arm,Handstands & Balance,Hand Balancing & Inversion,Bent-Arm Balances,2,5,FALSE,,Crow,,,Crow,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
Crow - Single Leg,Handstands & Balance,Hand Balancing & Inversion,Bent-Arm Balances,3,7,FALSE,,Crow,,,Crow,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
Crow - Side Crow,Handstands & Balance,Hand Balancing & Inversion,Bent-Arm Balances,3,6,FALSE,,,,,,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
Crow - Side Crow Split,Handstands & Balance,Hand Balancing & Inversion,Bent-Arm Balances,3,8,FALSE,,,,,,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
Flying Split,Handstands & Balance,Hand Balancing & Inversion,Bent-Arm Balances,3,7,FALSE,,,,,,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
Flying Pigeon,Handstands & Balance,Hand Balancing & Inversion,Bent-Arm Balances,3,6,FALSE,,,,,,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
Air Baby,Handstands & Balance,Hand Balancing & Inversion,Bent-Arm Balances,3,10,FALSE,,,,,,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
Headstand,Handstands & Balance,Hand Balancing & Inversion,Static Inversion,3,3,FALSE,,,,,,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
Forearm Balance,Handstands & Balance,Hand Balancing & Inversion,Static Inversion,3,4,FALSE,,,,,,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,
Handstand - Freestanding,Handstands & Balance,Hand Balancing & Inversion,Static Inversion,1,7,TRUE,,,,,,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
Handstand - Box,Handstands & Balance,Hand Balancing & Inversion,Static Inversion,1,3,FALSE,,,Handstand - Chest to Wall,,Handstand - Freestanding,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
Handstand - Chest to Wall,Handstands & Balance,Hand Balancing & Inversion,Static Inversion,1,4,FALSE,,,Handstand - Toe Pulls,,Handstand - Freestanding,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
Handstand - Toe Pulls,Handstands & Balance,Hand Balancing & Inversion,Static Inversion,2,5,FALSE,,,Handstand - Heel Pulls,,Handstand - Freestanding,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
Handstand - Heel Pulls,Handstands & Balance,Hand Balancing & Inversion,Static Inversion,2,6,FALSE,,,Handstand - Freestanding,,Handstand - Freestanding,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
Handstand - Kick Up,Handstands & Balance,Hand Balancing & Inversion,Static Inversion,1,5,FALSE,,,Handstand - Freestanding,,Handstand - Freestanding,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
